Year,Period,Label,Value,12-Month % Change,Month
1985,M11,1985 Nov,109,3.5,11/30/1985
1985,M12,1985 Dec,109.5,3.8,12/31/1985
1986,M01,1986 Jan,109.9,4,1/31/1986
1986,M02,1986 Feb,109.7,3.2,2/28/1986
1986,M03,1986 Mar,109.1,2.2,3/31/1986
1986,M04,1986 Apr,108.7,1.6,4/30/1986
1986,M05,1986 May,109,1.7,5/31/1986
1986,M06,1986 Jun,109.4,1.8,6/30/1986
1986,M07,1986 Jul,109.5,1.7,7/31/1986
1986,M08,1986 Aug,109.6,1.6,8/31/1986
1986,M09,1986 Sep,110,1.8,9/30/1986
1986,M10,1986 Oct,110.2,1.6,10/31/1986
1986,M11,1986 Nov,110.4,1.3,11/30/1986
1986,M12,1986 Dec,110.8,1.2,12/31/1986
1987,M01,1987 Jan,111.4,1.4,1/31/1987
1987,M02,1987 Feb,111.8,1.9,2/28/1987
1987,M03,1987 Mar,112.2,2.8,3/31/1987
1987,M04,1987 Apr,112.7,3.7,4/30/1987
1987,M05,1987 May,113,3.7,5/31/1987
1987,M06,1987 Jun,113.5,3.7,6/30/1987
1987,M07,1987 Jul,113.8,3.9,7/31/1987
1987,M08,1987 Aug,114.3,4.3,8/31/1987
1987,M09,1987 Sep,114.7,4.3,9/30/1987
1987,M10,1987 Oct,115,4.4,10/31/1987
1987,M11,1987 Nov,115.4,4.5,11/30/1987
1987,M12,1987 Dec,115.6,4.3,12/31/1987
1988,M01,1988 Jan,116,4.1,1/31/1988
1988,M02,1988 Feb,116.2,3.9,2/29/1988
1988,M03,1988 Mar,116.5,3.8,3/31/1988
1988,M04,1988 Apr,117.2,4,4/30/1988
1988,M05,1988 May,117.5,4,5/31/1988
1988,M06,1988 Jun,118,4,6/30/1988
1988,M07,1988 Jul,118.5,4.1,7/31/1988
1988,M08,1988 Aug,119,4.1,8/31/1988
1988,M09,1988 Sep,119.5,4.2,9/30/1988
1988,M10,1988 Oct,119.9,4.3,10/31/1988
1988,M11,1988 Nov,120.3,4.2,11/30/1988
1988,M12,1988 Dec,120.7,4.4,12/31/1988
